Код раздела,Наименование раздела на русском языке,Наименование раздела на латинском языке,Синоним названия раздела на латинском языке,Код,Наименование на русском языке,Наименование на латинском языке,Обозначение фармакопеи,Дата начала действия,Вид акта,Номер акта,Дата акта,Дата окончания действия,Вид акта,Номер акта,Дата акта
1,Аир обыкновенный,-,,1040,Аира обыкновенного корневища,Acori calami rhizomatafructus,"02,03,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
2,Алтей лекарственный,-,,2070,Алтея корни,Althaeae radicesfructus,"2,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
3,Анис обыкновенный,-,,3110,Аниса обыкновенного плоды,Anisi vulgaris fructusfructus,"4,07",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
4,Аралия маньчжурская,-,,4070,Аралии маньчжурской корни,Araliae manshuricae radicesfructus,"2,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
5,Арника,-,,5180,Арники цветки,Arnicae floresfructus,2,19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
6,Аяния кустарничковая,-,,6190,Аяния кустарничковая,Ajania fruticulosafructus,"3,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
7,Багульник болотный,-,,7190,Багульника болотного побеги,Ledi palustris cormusfructus,"02,03,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
8,Бадан толстолистный,-,,8040,Бадана толстолистного корневища,Bergeniae crassifoliae rhizomatafructus,"2,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
9,Барбарис обыкновенный,-,,9070,Барбариса обыкновенного корни,Berberidis vulgaris radicesfructus,2,19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
10,Бегония,-,,10090,Бегонии листья,Begonia foliafructus,2,19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
11,Белена черная,-,,11090,Белены черной листья,Hyoscyami nigri foliafructus,"02,03,04,07",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
12,Белладонна (Красавка),-,,12090,Белладонны листья (Красавки листья),Belladonnae foliafructus,"2,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
13,Береза,-,,13090,Березы листья,Betulae foliafructus,"02,03,04,05",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
14,Бессмертник песчаный,-,,14180,Бессмертника песчаного цветки,Helichrysi arenarii floresfructus,"2,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
15,Боярышник,-,,15090,Боярышника листья,Crataegi foliafructus,2,19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
16,Брусника обыкновенная,-,,16090,Брусники обыкновенной листья,Vaccinii vitis-idaea foliafructus,"02,04,05",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
17,Бузина черная,-,,17180,Бузины черной цветки,Sambuci nigrae floresfructus,"2,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
18,Валериана лекарственная,-,,18060,Валерианы лекарственной корневища с корнями,Valerianae rhizomata cum radicibusfructus,"2,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
19,Василек синий,-,,19180,Василька синего цветки,Centaureae cyani floresfructus,"2,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
20,Вахта трехлистная,-,,20090,Вахты трехлистной листья,Menyanthidis trifoliatae foliafructus,"2,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
21,Верблюжья колючка,-,,21170,Верблюжей колючки трава,Alhagi herbafructus,3,19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
22,Вода очищенная,-,,22990,Вода очищенная,Aqua purificatafructus,"3,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
23,Гинкго двулопастное,-,,23090,Гинкго двулопастного листья,Ginkgo biloba foliafructus,"2,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
24,Горечавка,-,,24070,Горечавки корни,Gentianae radicesfructus,2,19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
25,Горицвет весенний,-,,25170,Горицвета весеннего трава,Adonidis vernalis herbafructus,"2,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
26,Горец перечный (водяной перец),-,,26170,Горца перечного (водяного перца) трава,Polygoni hydropiperis herba fructus,4,19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
27,Горец почечуйный,-,,27170,Горца почечуйного трава,Polygoni persicariae herbafructus,"3,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
28,Горец птичий (спорыш),-,,28170,Горца птичьего трава (спорыша трава),Polygoni avicularis herbafructus,"2,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
29,Девясил высокий,-,,29050,Девясила высокого корневища и корни,Inulae helenii rhizomata et radicesfructus,"02,04,05",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
30,Донник,-,,30170,Донника трава,Meliloti herbafructus,4,19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
31,Дуб,-,,31030,Дуба кора,Quercus cortexfructus,"2,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
32,Дурман обыкновенный,-,,32090,Дурмана обыкновенного листья,Daturae stramonii  foliumfructus,4,19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
33,Душица обыкновенная,-,,33170,Душицы обыкновенной трава,Origani vulgaris herbafructus,"2,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
34,Дягиль,-,,34070,Дягиля корни,Archangelicaeradicesfructus,"2,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
35,Ель обыкновенная,-,,35210,Ели обыкновенной шишки,Piceae abietis strobilifructus,"4,05",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
36,Женьшень настоящий,-,,36070,Женьшеня настоящего корни,Panacis ginseng radicesfructus,"02,04,05",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
37,Жостер слабительный,-,,37110,Жостера слабительного плоды,Rhamni catharticae fructusfructus,4,19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
38,Зверобой,-,,38170,Зверобоя трава,Hyperici herbafructus,"2,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
39,Змеевик (Горец змеиный),-,,39040,Змеевика корневища (Горца змеиного корневища),Bistortae rhizomata (Polygoni bistortae rhizoma)fructus,"2,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
40,Золототысячник,-,,40170,Золототысячника трава,Centaurii herbafructus,"2,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
41,Ива,-,,41030,Ивы кора,Salicis cortexfructus,2,19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
42,Имбирь,-,,42040,Имбиря корневища,Zingiberis rhizomatafructus,2,19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
43,Исландский мох,-,,43080,Исландского мха слоевища,Lichen islandicus (cetrariae thalli)fructus,"02,03,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
44,Калина обыкновенная,-,,44030,Калины обыкновенной кора,Viburni  opuli cortexfructus,"02,04,05",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
45,Каштан конский обыкновенный,-,,45140,Каштана конского обыкновенного семена,Aesculi hippocastani semenfructus,7,19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
46,Кермек Гмелина,-,,46050,Кермека Гмелина корневища и корни,Limonium gmelinii rhizome and rootfructus,3,19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
47,Кориандр посевной,-,,47110,Кориандра посевного плоды,Coriandri sativi fructusfructus,"2,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
48,Крапива двудомная,-,,48090,Крапивы  двудомной листья,Urticae dioicaе foliafructus,"2,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
49,Крушина ольховидная,-,,49030,Крушины ольховидной кора,Frangulae alni cortexfructus,4,19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
50,Кукуруза,-,,50160,Кукурузы столбики с рыльцами,Zeae maydis styli cum stigmatisfructus,"2,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
51,Лабазник вязолистный,-,,51170,Лабазника вязолистного трава,Filipendulae ulmariae herbafructus,"2,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
52,Лаванда,-,,52180,Лаванды цветки,Lavandulae floresfructus,2,19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
53,Ламинария  (морская капуста),-,,53080,Ламинарии слоевища (морская капуста),Thalli laminariaefructus,4,19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
54,Лапчатка прямостоячая,-,,54040,Лапчатки прямостоячей корневища,Potentillae erectae  rhisomatafructus,"02,04,05",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
55,Левзея сафлоровидная,-,,55060,Левзеи сафлоровидной корневища с корнями,Rhapontici carthamoides rhizomata cum radicibusfructus,"2,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
